,Start coop,Start comp,Start S0,End coop,End coop,End coop,End comp,End comp,End comp,End S0,End S0,End S0
P22,1699763033,8391881.443,0,1833333333,3166666667,1833333333,4666666667,816666666.7,633333333.3,0,0,0
Phi,1699763033,8391881.443,0,1666.666667,50000,56666.66667,166666.6667,2333333.333,0,0,0,0
Phi+P22,1699763033,8391881.443,0,50000000,0,100000000,0,3333333.333,6666666.667,0,0,0
Control,1699763033,8391881.443,0,50000000000,3E+11,1.5E+11,0,0,50000000000,0,0,0
