Generalists,Start,Start.STDEV,End,Netchange,STDEV
Coop + P22 + phi,0.589473684,0.069519003,0.814863065,0.349748446,0.016935688
Comp + P22 + phi,0.589473684,0.069519003,0.180157062,-0.409316622,0.016015351
S + P22 + phi,0.589473684,0.069519003,0.130734463,-0.458739221,0.015309706
E + P22 + phi,0.589473684,0.069519003,1.00E+00,0.410461169,3.03E-05
