well,interaction,phage,media
A1,none,none,none
A2,none,none,none
A3,none,none,none
A4,none,none,none
A5,none,none,none
A6,none,none,none
A7,none,none,none
A8,none,none,none
A9,none,none,none
A10,none,none,none
A11,none,none,none
A12,none,none,none
B1,none,none,none
B2,none,Phi,LB
B3,none,Phi,LB
B4,none,Phi,LB
B5,none,Phi,salt + yeast
B6,none,Phi,salt + yeast
B7,none,Phi,salt + yeast
B8,none,Phi,salt + tryptone
B9,none,Phi,salt + tryptone
B10,none,Phi,salt + tryptone
B11,none,none,none
B12,none,none,none
C1,none,none,none
C2,none,Phi,yeast + tryptone
C3,none,Phi,yeast + tryptone
C4,none,Phi,yeast + tryptone
C5,none,Phi,yeast
C6,none,Phi,yeast
C7,none,Phi,yeast
C8,none,Phi,salt
C9,none,Phi,salt
C10,none,Phi,salt
C11,none,none,none
C12,none,none,none
D1,none,none,none
D2,none,Phi,tryptone
D3,none,Phi,tryptone
D4,none,Phi,tryptone
D5,none,P22,LB
D6,none,P22,LB
D7,none,P22,LB
D8,none,P22,salt + yeast
D9,none,P22,salt + yeast
D10,none,P22,salt + yeast
D11,none,none,none
D12,none,none,none
E1,none,none,none
E2,none,P22,salt + tryptone
E3,none,P22,salt + tryptone
E4,none,P22,salt + tryptone
E5,none,P22,yeast + tryptone
E6,none,P22,yeast + tryptone
E7,none,P22,yeast + tryptone
E8,none,P22,yeast
E9,none,P22,yeast
E10,none,P22,yeast
E11,none,none,none
E12,none,none,none
F1,none,none,none
F2,none,P22,salt
F3,none,P22,salt
F4,none,P22,salt
F5,none,P22,tryptone
F6,none,P22,tryptone
F7,none,P22,tryptone
F8,none,Phi + P22,glucose
F9,none,Phi + P22,glucose
F10,none,Phi + P22,glucose
F11,none,none,none
F12,none,none,none
G1,none,none,none
G2,none,none,none
G3,none,none,none
G4,none,none,none
G5,none,none,none
G6,none,none,none
G7,none,none,none
G8,none,none,none
G9,none,none,none
G10,none,none,none
G11,none,none,none
G12,none,none,none
H1,none,none,none
H2,none,none,none
H3,none,none,none
H4,none,none,none
H5,none,none,none
H6,none,none,none
H7,none,none,none
H8,none,none,none
H9,none,none,none
H10,none,none,none
H11,none,none,none
H12,none,none,none
