name,timepoint,parameter,S_at_given_timepoint,T_at_given_timepoint,S_averaged_across_time,T_averaged_across_time,interaction_type
gen,1,dilution_gen,0.9883327518237506,0.9725370263245504,0.32131620340819944,0.9327013381529673,competition
gen,2,dilution_gen,0.5848810747550287,0.8109496925613635,0.32131620340819944,0.9327013381529673,competition
gen,3,dilution_gen,0.32166871265100533,0.742748166516844,0.32131620340819944,0.9327013381529673,competition
gen,4,dilution_gen,0.3144172146470467,0.7901831457218524,0.32131620340819944,0.9327013381529673,competition
gen,5,dilution_gen,0.31047341954093327,0.8323018171538255,0.32131620340819944,0.9327013381529673,competition
gen,6,dilution_gen,0.3128695738543624,0.8632603042034686,0.32131620340819944,0.9327013381529673,competition
gen,7,dilution_gen,0.3099427889997117,0.8857064758852822,0.32131620340819944,0.9327013381529673,competition
gen,8,dilution_gen,0.30539235995879277,0.9013689253827564,0.32131620340819944,0.9327013381529673,competition
gen,9,dilution_gen,0.30516620918298865,0.9108136497355608,0.32131620340819944,0.9327013381529673,competition
gen,10,dilution_gen,0.2995141807919852,0.9157632364812262,0.32131620340819944,0.9327013381529673,competition
gen,11,dilution_gen,0.2931874418255817,0.9184212444368961,0.32131620340819944,0.9327013381529673,competition
gen,12,dilution_gen,0.29539453265611626,0.9192311519800402,0.32131620340819944,0.9327013381529673,competition
gen,13,dilution_gen,0.3046158745392825,0.9193072835651294,0.32131620340819944,0.9327013381529673,competition
gen,14,dilution_gen,0.3114493167568466,0.9204952985031647,0.32131620340819944,0.9327013381529673,competition
gen,15,dilution_gen,0.3154471071829023,0.9226506181107854,0.32131620340819944,0.9327013381529673,competition
gen,16,dilution_gen,0.31591957463587766,0.9247839195136955,0.32131620340819944,0.9327013381529673,competition
gen,17,dilution_gen,0.31354706701772056,0.9264709220108784,0.32131620340819944,0.9327013381529673,competition
gen,18,dilution_gen,0.31057478989408965,0.927895991256823,0.32131620340819944,0.9327013381529673,competition
gen,19,dilution_gen,0.30902686194862145,0.9292982678671731,0.32131620340819944,0.9327013381529673,competition
gen,20,dilution_gen,0.31052923104427754,0.9305293514211318,0.32131620340819944,0.9327013381529673,competition
gen,21,dilution_gen,0.3150934203509988,0.9312544834668747,0.32131620340819944,0.9327013381529673,competition
gen,22,dilution_gen,0.319921910481498,0.9313597368424728,0.32131620340819944,0.9327013381529673,competition
gen,23,dilution_gen,0.3223543244318614,0.9311164741008651,0.32131620340819944,0.9327013381529673,competition
gen,24,dilution_gen,0.32245259339632326,0.9309692007171727,0.32131620340819944,0.9327013381529673,competition
gen,25,dilution_gen,0.3213739083262337,0.931206422816402,0.32131620340819944,0.9327013381529673,competition
gen,26,dilution_gen,0.32002322031907987,0.9318921539858809,0.32131620340819944,0.9327013381529673,competition
gen,27,dilution_gen,0.3187916207678014,0.9329252851254665,0.32131620340819944,0.9327013381529673,competition
gen,28,dilution_gen,0.3178876561002721,0.9340967525252004,0.32131620340819944,0.9327013381529673,competition
gen,29,dilution_gen,0.31763972853469213,0.9351610663917574,0.32131620340819944,0.9327013381529673,competition
gen,30,dilution_gen,0.31812729411419655,0.9359221037307851,0.32131620340819944,0.9327013381529673,competition
gen,31,dilution_gen,0.318935177492577,0.9363153532490879,0.32131620340819944,0.9327013381529673,competition
gen,32,dilution_gen,0.3195586218227279,0.9364526695587043,0.32131620340819944,0.9327013381529673,competition
gen,33,dilution_gen,0.319700656161673,0.9365586305565456,0.32131620340819944,0.9327013381529673,competition
gen,34,dilution_gen,0.3193032501658653,0.936829120527806,0.32131620340819944,0.9327013381529673,competition
gen,35,dilution_gen,0.3185818338012962,0.9373357899348058,0.32131620340819944,0.9327013381529673,competition
gen,36,dilution_gen,0.3179190911065454,0.9380327050318487,0.32131620340819944,0.9327013381529673,competition
gen,37,dilution_gen,0.31761207941524183,0.9388120707052307,0.32131620340819944,0.9327013381529673,competition
gen,38,dilution_gen,0.3176599950682026,0.9395583225850389,0.32131620340819944,0.9327013381529673,competition
gen,39,dilution_gen,0.31779671719343316,0.9401860247112207,0.32131620340819944,0.9327013381529673,competition
gen,40,dilution_gen,0.31776119749359016,0.94066221622901,0.32131620340819944,0.9327013381529673,competition
gen,41,dilution_gen,0.3174922604747062,0.9410057641888583,0.32131620340819944,0.9327013381529673,competition
gen,42,dilution_gen,0.3170988755947723,0.9412625393717725,0.32131620340819944,0.9327013381529673,competition
gen,43,dilution_gen,0.3167339760752349,0.9414807786616065,0.32131620340819944,0.9327013381529673,competition
gen,44,dilution_gen,0.3164912644089905,0.9416963566148355,0.32131620340819944,0.9327013381529673,competition
gen,45,dilution_gen,0.31637924247341737,0.9419224314315429,0.32131620340819944,0.9327013381529673,competition
gen,46,dilution_gen,0.31634050657607804,0.9421486595395214,0.32131620340819944,0.9327013381529673,competition
gen,47,dilution_gen,0.31628479940148135,0.942352196421103,0.32131620340819944,0.9327013381529673,competition
gen,48,dilution_gen,0.3161448913288983,0.942510615398699,0.32131620340819944,0.9327013381529673,competition
gen,49,dilution_gen,0.315920999971807,0.9426125450753772,0.32131620340819944,0.9327013381529673,competition
gen,50,dilution_gen,0.3156634869943173,0.9426627062756898,0.32131620340819944,0.9327013381529673,competition
gen,51,dilution_gen,0.3154294924385049,0.9426786747613752,0.32131620340819944,0.9327013381529673,competition
gen,52,dilution_gen,0.3152614741704961,0.9426837010161782,0.32131620340819944,0.9327013381529673,competition
gen,53,dilution_gen,0.3151798207296506,0.9426985130868294,0.32131620340819944,0.9327013381529673,competition
