mu,mu.star,sigma,focal_parameter,parameter,final_timepoint_gi,gi_averaged_across_time,interaction_type
2.4139892042232907,3.846829802712344,39.237099020561025,sp,c_sp,39.42522085011505,77.40957402177888,mutualism
0.45876665922113236,1.2502815332080681,12.982047250203872,sp,dilution_E,13.042114656711428,82.68534236210537,mutualism
3.1802659933384003,7.228525902923479,82.10823954074117,sp,dilution_gen,82.42581262692511,79.0091112911402,mutualism
-6.212956786433084,6.326273248214825,127.64834511260001,sp,dilution_S,127.80501454636479,30.66856498499451,mutualism
-17.16389234844505,17.398915564121484,145.19062261729502,sp,dilution_sp,146.22940593056245,191.51833552628474,mutualism
-1.1568379933693593,4.597061750196205,43.42325160912112,sp,gamma_genE,43.66591069752418,53.945141178115364,mutualism
-1.9618648692636649,1.961864869903768,19.31595234364519,sp,gamma_genS,19.41532715948239,42.105749459422064,mutualism
0.5947787487821142,3.6465956161431925,41.59665483621462,sp,gamma_sp,41.756189399307644,71.15438483356358,mutualism
-1.3259031473138256,4.545993511538795,64.16649483105772,sp,k_e,64.327327908993,71.52813786987312,mutualism
-8.502121937533797,15.126015291397003,207.68413835555276,sp,k_s,208.2342374901014,208.89282979209776,mutualism
8.10233675714361,10.73043989815864,136.88711861507565,sp,R,137.30704855594917,114.00955669306813,mutualism
0.5598765345958779,4.062258125140544,48.573605804973745,sp,rate_e,48.7431751322403,75.6018386759383,mutualism
-1.4018029237326939,4.740000499280072,55.27226794698686,sp,rate_s,55.47514045711544,64.68199846646529,mutualism
