mu,mu.star,sigma,focal_parameter,parameter,final_timepoint_gi,gi_averaged_across_time,interaction_type
-398.056458457266,528.5584145875665,3207.7124062071193,gen,beta1,3250.9679910091995,2990.566196058384,competition
-5.665073457746281,309.1931990970936,1905.7959395048981,gen,beta2,1930.7145302714362,1700.9670131562414,competition
-1362.971145239974,1718.7861532121947,4746.977319123235,gen,c_genE,5048.566084418861,4962.939545096743,competition
7.770216322366925,775.0914083733262,3156.725348342125,gen,c_genS,3250.4894425608977,2881.777915168594,competition
-136.5926997986937,434.89991475706296,2872.3697573842005,gen,c_sp,2905.106875657257,2603.2286532405055,competition
18.014481872643163,83.75978778510402,742.0802185532239,gen,dilution_E,746.7923090242737,708.8959316972263,competition
-302.2671888234663,710.7226005980004,2140.016738784208,gen,dilution_gen,2254.949723891285,1737.68919931419,competition
-8.30332575657423,8.911186799294294,73.11459653417421,gen,dilution_S,73.65564117246551,70.80308263051658,competition
173.1898023748725,355.492145331986,2293.332842891742,gen,dilution_sp,2320.721912181349,1893.5751779702578,competition
211.581904199399,310.49510355960575,1637.5020527043216,gen,gamma_genE,1666.6793878683918,1423.901677123496,competition
103.87090883652817,221.9420898616636,1132.0141049075576,gen,gamma_genS,1153.5658736985165,1073.0368119778786,competition
9.19558689794765,220.48636573561598,1667.2800969508141,gen,gamma_sp,1681.7958137549326,1634.5189409495586,competition
1402.648990264375,1495.1026544883941,1876.3073724767899,gen,R,2399.137616617479,2398.4536484312184,competition
766.6704507356465,1206.278179755571,2765.5831359908407,gen,rate_e,3017.2101565902476,2866.269259166518,competition
75.02014869249157,563.5341130144161,1911.0055581183135,gen,rate_s,1992.3636564869455,1893.0650816965326,competition
75.33886327269609,235.10292555642522,1206.4518523258182,sp,beta1,1229.1458243778839,1114.3672010816665,competition
-80.22332578696918,137.10399687853493,951.3000625851198,sp,beta2,961.1291874844517,810.8753466946071,competition
81.15425473573262,110.52294260954292,1109.4599655331656,sp,c_genE,1114.9514500479047,786.6264387561935,competition
-343.07385332333416,354.9727607729966,1932.577742460504,sp,c_genS,1964.9077310511404,1631.8492550866004,competition
-12.67025793868889,615.4365960347302,2648.326095093958,sp,c_sp,2718.8956047804463,2260.3854317887676,competition
-8.427093773965654,15.93177514461714,149.9555236351461,sp,dilution_E,150.79947124558993,144.71984715728303,competition
165.24009207838844,188.76382111061199,1240.6348034810765,sp,dilution_gen,1254.9129435019818,937.5444422239684,competition
-3.641003737373393,4.587887559200042,14.590280902000012,sp,dilution_S,15.294607188650803,13.266926993389406,competition
-358.52981693055017,440.4133540469713,3122.9421210841065,sp,dilution_sp,3153.8439108592866,2215.631223021267,competition
3.266346912363726,13.333014661214493,138.5747402589304,sp,gamma_genE,139.21468283836367,123.50815733698334,competition
-104.35742456638752,120.15715235012547,914.327954832943,sp,gamma_genS,922.1894329528416,667.056461978184,competition
85.29387164119632,201.09310921717886,1125.5895377878935,sp,gamma_sp,1143.4116695889525,956.3737503944636,competition
223.22616219380956,281.4294170239258,755.2699737375484,sp,R,805.9995347368036,793.1073984565409,competition
-35.668180222545935,218.83684127169477,1253.3833934913937,sp,rate_e,1272.3440942519342,1128.3071423327985,competition
273.92882286884293,316.8958774934456,914.4078007608007,sp,rate_s,967.7626895394061,794.1624893780848,competition
1.7331463043407809,2.6212110706564644,18.947257132196484,gen,alpha1,19.12771027359267,61.30976447566598,mutualism
1.6770437517023253,1.6770794336259343,11.264277740394016,gen,alpha2,11.388439245104099,52.526801412692656,mutualism
-0.21257069934978207,2.5865381286912803,17.068682776069323,gen,c_genE,17.263548627129342,53.1249503263812,mutualism
-0.46580878942504905,1.6567921285809273,11.088860809858227,gen,c_genS,11.211948725254562,37.5699996094062,mutualism
-1.4382186929217238,1.7082534954479973,17.910468451720796,gen,c_sp,17.991748390992917,37.23152216268689,mutualism
-1.8440895437095253,2.3924229034154147,26.987390635535085,gen,dilution_E,27.09322684110834,51.94322007632815,mutualism
-65.95733801909435,70.9492402155484,386.490704930672,gen,dilution_gen,392.94892757834486,550.014157483866,mutualism
-0.6343521734676456,0.6814666626613073,4.678830374706818,gen,dilution_S,4.728197382470182,30.83870085624679,mutualism
-1.6457036678850343,3.444769988433799,54.449386844653525,gen,dilution_sp,54.55824564657429,29.32850332981281,mutualism
1.993226232344166,2.398428357664689,20.885112829166168,gen,gamma_genE,21.022378468523762,41.14984787906233,mutualism
0.7141201717706893,1.1216702330788446,8.093956802525287,gen,gamma_genS,8.171308391739998,23.20968357195698,mutualism
-2.24515761164612,2.2451576319904682,21.170203256628227,gen,gamma_sp,21.28892291120989,38.17524981058881,mutualism
-6.00438136701474,6.3032727263742325,48.849187826612344,gen,k_e,49.254181531954266,99.63895030494167,mutualism
-6.04470232125385,6.421560941319656,61.46048946026849,gen,k_s,61.795050041397786,120.06643616225605,mutualism
9.654906950235892,10.319797817639449,58.95501900215434,gen,R,59.85142013804965,131.09632827057345,mutualism
2.30583238794442,2.345702214315116,16.859846246863377,gen,rate_e,17.022242341892444,58.10253370121132,mutualism
1.7666056790444409,2.5320190386108403,22.33216825416207,gen,rate_s,22.475249928401063,66.4793668393535,mutualism
-3.3725949280401752,4.510712550065522,56.80555668009374,sp,alpha1,56.98436449978767,67.32576393605336,mutualism
5.450077619303651,5.484294545920646,75.27609686642242,sp,alpha2,75.47561358551135,53.82346297924965,mutualism
-30.5867612534001,30.586761253724482,409.5614667735621,sp,c_genE,410.70201488391064,338.07850845784213,mutualism
-5.144774419929205,5.148606801723448,59.479738521519366,sp,c_genS,59.70215613013543,98.8387559943264,mutualism
